song_name,song_popularity,song_duration_ms,artist_name
Divided,37,228000,Unknown Artist (Placeholder)
9 Times Out Of 10,41,185517,Unknown Artist (Placeholder)
Taste,47,200371,Unknown Artist (Placeholder)
Magic,25,235752,Unknown Artist (Placeholder)
Sight,18,139746,Unknown Artist (Placeholder)
On the Road,32,196530,Unknown Artist (Placeholder)
Masseuse,43,161481,Unknown Artist (Placeholder)
Luv,30,195620,Unknown Artist (Placeholder)
The Come Down Was Real,45,240084,Unknown Artist (Placeholder)
Problems,31,223840,Unknown Artist (Placeholder)
Nothing To Me,35,189705,Unknown Artist (Placeholder)
REVELATIONS,22,137454,Unknown Artist (Placeholder)
A to Z,47,208383,Unknown Artist (Placeholder)
Let Me Down (feat. George Maple),55,217783,Unknown Artist (Placeholder)
I Miss You,57,205452,Unknown Artist (Placeholder)
Bless (What It's Like),49,236993,Unknown Artist (Placeholder)
Suffer In Silence,35,241606,Unknown Artist (Placeholder)
Lost at Heart,35,157697,Unknown Artist (Placeholder)
All Three Eyes,34,152000,Unknown Artist (Placeholder)
Wonderland,37,230013,Unknown Artist (Placeholder)
Deserve,40,224673,Unknown Artist (Placeholder)
Time,38,220746,Unknown Artist (Placeholder)
Facts,42,182247,Unknown Artist (Placeholder)
Switch Up,39,175080,Unknown Artist (Placeholder)
Sobriety,35,213655,Unknown Artist (Placeholder)
Beat Drop,22,228597,Unknown Artist (Placeholder)
Jonah,35,122823,Unknown Artist (Placeholder)
Won't Be Long,22,193043,Unknown Artist (Placeholder)
Records,35,207440,Unknown Artist (Placeholder)
Black Future,23,136438,Unknown Artist (Placeholder)
Falling from the Sky,32,275303,Unknown Artist (Placeholder)
Promised Land,23,204131,Unknown Artist (Placeholder)
Make Money Not Friends,47,237557,Unknown Artist (Placeholder)
Too Far Gone,47,213576,Unknown Artist (Placeholder)
Crazy in Love,65,249106,Unknown Artist (Placeholder)
In Da Club,74,193466,Unknown Artist (Placeholder)
"Lose Yourself - From ""8 Mile"" Soundtrack",81,326466,Unknown Artist (Placeholder)
Back To Black,81,240440,Unknown Artist (Placeholder)
Crazy,78,177466,Unknown Artist (Placeholder)
Party In The U.S.A.,79,202066,Unknown Artist (Placeholder)
Toxic,79,198800,Unknown Artist (Placeholder)
Yeah!,71,250066,Unknown Artist (Placeholder)
Where Is The Love?,40,272533,Unknown Artist (Placeholder)
TiK ToK,69,199733,Unknown Artist (Placeholder)
Don't Cha,69,272080,Unknown Artist (Placeholder)
Don't Stop The Music,79,267080,Unknown Artist (Placeholder)
Poker Face,71,237200,Unknown Artist (Placeholder)
Irreplaceable,78,227853,Unknown Artist (Placeholder)
I Gotta Feeling,70,289133,Unknown Artist (Placeholder)
I Kissed A Girl,74,179640,Unknown Artist (Placeholder)
911,56,259346,Unknown Artist (Placeholder)
Gold Digger,81,207626,Unknown Artist (Placeholder)
Hit 'Em up Style (Oops!),58,250493,Unknown Artist (Placeholder)
Survivor,75,254026,Unknown Artist (Placeholder)
This Love,40,206200,Unknown Artist (Placeholder)
I'm Yours,69,243494,Unknown Artist (Placeholder)
No Air (feat. Chris Brown),72,264373,Unknown Artist (Placeholder)
Apologize,34,184826,Unknown Artist (Placeholder)
Dilemma,79,289173,Unknown Artist (Placeholder)
Make You Feel My Love,79,212040,Unknown Artist (Placeholder)
U Remind Me,77,266893,Unknown Artist (Placeholder)
Hollaback Girl,72,199853,Unknown Artist (Placeholder)
Young Folks,17,278719,Unknown Artist (Placeholder)
Bye Bye Bye,66,199640,Unknown Artist (Placeholder)
Every time we touch,26,197124,Unknown Artist (Placeholder)
Umbrella,82,275986,Unknown Artist (Placeholder)
Drop It Like It's Hot,70,266066,Unknown Artist (Placeholder)
Ordinary People,70,281466,Unknown Artist (Placeholder)
One More Time - Short Radio Edit,69,235466,Unknown Artist (Placeholder)
Kids,78,302840,Unknown Artist (Placeholder)
Maria Maria (feat. The Product G&B) - Radio Edit,64,237920,Unknown Artist (Placeholder)
With Every Heartbeat - with Kleerup,53,251240,Unknown Artist (Placeholder)
She Will Be Loved,75,257133,Unknown Artist (Placeholder)
It Wasn't Me,73,227546,Unknown Artist (Placeholder)
Bootylicious,59,207354,Unknown Artist (Placeholder)
Oops!...I Did It Again,69,210853,Unknown Artist (Placeholder)
Sex on Fire,45,204586,Unknown Artist (Placeholder)
White Flag,68,240040,Unknown Artist (Placeholder)
The Scientist,86,309600,Unknown Artist (Placeholder)
4 Minutes (feat. Justin Timberlake & Timbaland),72,189693,Unknown Artist (Placeholder)
"Whenever, Wherever",21,197026,Unknown Artist (Placeholder)
Love Story,71,235266,Unknown Artist (Placeholder)
Marry You,74,230120,Unknown Artist (Placeholder)
Cry Me a River,16,287893,Unknown Artist (Placeholder)
Because of You,65,220373,Unknown Artist (Placeholder)
Bad Romance,28,294640,Unknown Artist (Placeholder)
Murder On The Dancefloor,64,230013,Unknown Artist (Placeholder)
So What,62,214520,Unknown Artist (Placeholder)
Mr. Brightside,27,222075,Unknown Artist (Placeholder)
Viva La Vida,81,242373,Unknown Artist (Placeholder)
Intro,75,127920,Unknown Artist (Placeholder)
Bleeding Love,69,262664,Unknown Artist (Placeholder)
F**k You,66,223694,Unknown Artist (Placeholder)
Just The Way You Are,78,220733,Unknown Artist (Placeholder)
When Love Takes Over (feat. Kelly Rowland),68,189000,Unknown Artist (Placeholder)
Little L,58,295400,Unknown Artist (Placeholder)
Get Busy,74,211666,Unknown Artist (Placeholder)
Seven Nation Army,81,231920,Unknown Artist (Placeholder)
Raise Your Glass,63,203266,Unknown Artist (Placeholder)
A Thousand Miles - Single Version,24,237920,Unknown Artist (Placeholder)
So Sick,38,207186,Unknown Artist (Placeholder)
Can't Get You Out of My Head,58,230640,Unknown Artist (Placeholder)
Snow (Hey Oh),73,334666,Unknown Artist (Placeholder)
Mercy,71,219920,Unknown Artist (Placeholder)
How You Remind Me,79,223840,Unknown Artist (Placeholder)
Fireflies,80,228346,Unknown Artist (Placeholder)
Don't Know Why,75,186146,Unknown Artist (Placeholder)
Breathless,69,207506,Unknown Artist (Placeholder)
Wherever You Will Go,70,208506,Unknown Artist (Placeholder)
Dirrty,41,298853,Unknown Artist (Placeholder)
Lady - Hear Me Tonight,8,307153,Unknown Artist (Placeholder)
You've Got The Love,70,168666,Unknown Artist (Placeholder)
Call On Me - Radio Edit,23,171360,Unknown Artist (Placeholder)
Hot N Cold,69,220226,Unknown Artist (Placeholder)
All Rise,66,223546,Unknown Artist (Placeholder)
7 Days,73,235133,Unknown Artist (Placeholder)
The Wanderer,66,163626,Unknown Artist (Placeholder)
Johnny B. Goode - Single Version,15,161560,Unknown Artist (Placeholder)
Good Golly Miss Molly,23,127386,Unknown Artist (Placeholder)
That'll Be The Day,60,136800,Unknown Artist (Placeholder)
"Shake, Rattle And Roll",59,150466,Unknown Artist (Placeholder)
At The Hop,18,149933,Unknown Artist (Placeholder)
Ain't That A Shame,57,152200,Unknown Artist (Placeholder)
Jailhouse Rock,12,155333,Unknown Artist (Placeholder)
Under The Boardwalk,57,157640,Unknown Artist (Placeholder)
Runaround Sue - Remastered 1991,24,160306,Unknown Artist (Placeholder)
Roll Over Beethoven - Single Version,19,142906,Unknown Artist (Placeholder)
A Teenager In Love,62,153866,Unknown Artist (Placeholder)
"Come On, Let's Go",60,124586,Unknown Artist (Placeholder)
(We're Gonna) Rock Around The Clock - Single Version,55,134106,Unknown Artist (Placeholder)
Hound Dog,12,133293,Unknown Artist (Placeholder)
I've Got A Woman,69,171466,Unknown Artist (Placeholder)
Long Tall Sally,24,128280,Unknown Artist (Placeholder)
Rockin' Robin,50,155866,Unknown Artist (Placeholder)
I Walk The Line - Single Version,52,163026,Unknown Artist (Placeholder)
Dream Lover,63,150706,Unknown Artist (Placeholder)
Runaway - 2004 Remastered Version,52,139320,Unknown Artist (Placeholder)
Diana,52,136946,Unknown Artist (Placeholder)
Great Balls Of Fire - 1963 Stereo Version,57,110653,Unknown Artist (Placeholder)
Take Good Care Of My Baby - 1990 Remastered,61,150866,Unknown Artist (Placeholder)
The Great Pretender - Single Version,51,159288,Unknown Artist (Placeholder)
Shout,51,272560,Unknown Artist (Placeholder)
Tequila (Original),58,130320,Unknown Artist (Placeholder)
Stupid Cupid,49,136426,Unknown Artist (Placeholder)
Oh! Carol,51,135773,Unknown Artist (Placeholder)
Why Do Fools Fall in Love,56,138973,Unknown Artist (Placeholder)
La Bamba - Single Version,13,126960,Unknown Artist (Placeholder)
Come Go With Me,20,162293,Unknown Artist (Placeholder)
Since I Don't Have You,12,156893,Unknown Artist (Placeholder)
Whole Lot of Shakin' Going On,61,172400,Unknown Artist (Placeholder)
Folsom Prison Blues,53,172026,Unknown Artist (Placeholder)
C'mon Everybody,11,117666,Unknown Artist (Placeholder)
Love Potion No. 9,57,112200,Unknown Artist (Placeholder)
Reet Petite,57,162093,Unknown Artist (Placeholder)
You Send Me,11,173026,Unknown Artist (Placeholder)
Summertime Blues,17,120000,Unknown Artist (Placeholder)
Little Darlin' - Single Version,13,129213,Unknown Artist (Placeholder)
Sixteen Tons,56,158306,Unknown Artist (Placeholder)
Tutti Frutti,14,146640,Unknown Artist (Placeholder)
Wake Up Little Susie - 2006 Remastered Version,49,123000,Unknown Artist (Placeholder)
Blueberry Hill - Remastered 2002,58,143440,Unknown Artist (Placeholder)
Book Of Love - Single Version,16,138986,Unknown Artist (Placeholder)
I've Got You Under My Skin - Remastered 1998,69,223760,Unknown Artist (Placeholder)
That's Amore - 1996 Digital Remaster,61,188466,Unknown Artist (Placeholder)
Barbara-Ann,47,135773,Unknown Artist (Placeholder)
Lonely Teardrops,55,164346,Unknown Artist (Placeholder)
My Baby Just Cares For Me,18,217626,Unknown Artist (Placeholder)
Mess Around,61,160226,Unknown Artist (Placeholder)
"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",50,160373,Unknown Artist (Placeholder)
See See Rider,51,149093,Unknown Artist (Placeholder)
Shakin' All Over - 2004 Remastered Version,44,139733,Unknown Artist (Placeholder)
Hello Mary Lou (Goodbye Heart),54,139280,Unknown Artist (Placeholder)
Get a Job,51,169706,Unknown Artist (Placeholder)
Bye Bye Love,60,142906,Unknown Artist (Placeholder)
"See You Later, Alligator",52,165360,Unknown Artist (Placeholder)
You're Sixteen-Your're Beautiful (And You're Mine) - Single Version,10,118333,Unknown Artist (Placeholder)
Fannie Mae,48,172160,Unknown Artist (Placeholder)
Be-Bop-A-Lula,47,157206,Unknown Artist (Placeholder)
King Creole,10,128573,Unknown Artist (Placeholder)
Peppermint Twist Part I,43,121760,Unknown Artist (Placeholder)
Smoke Gets In Your Eyes - Single Version,45,158546,Unknown Artist (Placeholder)
Who Put The Bomp (In The Bomp Bomp Bomp) - 2004 Remastered Version,45,179466,Unknown Artist (Placeholder)
Peggy Sue - Single Version,52,152000,Unknown Artist (Placeholder)
Jambalaya (On The Bayou),11,144066,Unknown Artist (Placeholder)
Ya Ya,52,146053,Unknown Artist (Placeholder)
To The Aisle,49,165866,Unknown Artist (Placeholder)
Party Doll - Mono,44,133093,Unknown Artist (Placeholder)
Buona Sera - Remastered 2002,48,180093,Unknown Artist (Placeholder)
Mary Lou,43,130360,Unknown Artist (Placeholder)
He'll Have to Go,58,138640,Unknown Artist (Placeholder)
Tennessee Waltz,10,183573,Unknown Artist (Placeholder)
Ain't No Mountain High Enough,41,151666,Unknown Artist (Placeholder)
(I Can’t Get No) Satisfaction - Mono / Remastered,23,223440,Unknown Artist (Placeholder)
The House Of The Rising Sun,73,269906,Unknown Artist (Placeholder)
My Girl,21,178120,Unknown Artist (Placeholder)
(Your Love Keeps Lifting Me) Higher & Higher,73,181066,Unknown Artist (Placeholder)
Build Me Up Buttercup,73,177533,Unknown Artist (Placeholder)
The Sound of Silence,71,185440,Unknown Artist (Placeholder)
I'm a Believer,73,167373,Unknown Artist (Placeholder)
"Sugar, Sugar",71,167186,Unknown Artist (Placeholder)
Be My Baby,72,160906,Unknown Artist (Placeholder)
Hit the Road Jack,19,119840,Unknown Artist (Placeholder)
Come Together - Remastered,38,259946,Unknown Artist (Placeholder)
Down On The Corner,32,166280,Unknown Artist (Placeholder)
Will You Love Me Tomorrow,18,162960,Unknown Artist (Placeholder)
Stand By Me,80,180055,Unknown Artist (Placeholder)
(What A) Wonderful World - Remastered,31,125506,Unknown Artist (Placeholder)
Mrs. Robinson,59,242533,Unknown Artist (Placeholder)
Wouldn't It Be Nice - Stereo Mix,72,153240,Unknown Artist (Placeholder)
These Boots Are Made For Walkin',68,166008,Unknown Artist (Placeholder)
Unchained Melody,67,215840,Unknown Artist (Placeholder)
Sherry,63,152160,Unknown Artist (Placeholder)
Son Of A Preacher Man,48,145946,Unknown Artist (Placeholder)
You Can't Hurry Love,57,161613,Unknown Artist (Placeholder)
"Hold On, I'm Comin'",56,149080,Unknown Artist (Placeholder)
I Heard It Through The Grapevine,69,195266,Unknown Artist (Placeholder)
Time Of The Season (Mono Version),69,214026,Unknown Artist (Placeholder)
"Oh, Pretty Woman",60,176213,Unknown Artist (Placeholder)
I Say a Little Prayer,76,216773,Unknown Artist (Placeholder)
Sweet Caroline,72,203573,Unknown Artist (Placeholder)
Gimme Some Lovin' - Single Mix,22,173973,Unknown Artist (Placeholder)
What Becomes Of The Brokenhearted,25,175693,Unknown Artist (Placeholder)
Rescue Me - Single Version,23,172013,Unknown Artist (Placeholder)
Good Vibrations - Remastered,67,217746,Unknown Artist (Placeholder)
The Lion Sleeps Tonight (Wimoweh),66,162093,Unknown Artist (Placeholder)
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,64,178506,Unknown Artist (Placeholder)
Can't Take My Eyes Off You,66,203240,Unknown Artist (Placeholder)
You Never Can Tell,27,161946,Unknown Artist (Placeholder)
Do You Love Me - Mono,15,172400,Unknown Artist (Placeholder)
What A Wonderful World,35,137466,Unknown Artist (Placeholder)
All I Have To Do Is Dream - 2006 Remastered Version,57,140373,Unknown Artist (Placeholder)
Please Mr. Postman,18,149093,Unknown Artist (Placeholder)
For Once In My Life,72,169800,Unknown Artist (Placeholder)
Sunny,45,161080,Unknown Artist (Placeholder)
Think,69,139733,Unknown Artist (Placeholder)
This Old Heart Of Mine (Is Weak For You),19,164960,Unknown Artist (Placeholder)
Bring It On Home to Me - Remastered,56,164252,Unknown Artist (Placeholder)
A Whiter Shade Of Pale,67,248946,Unknown Artist (Placeholder)
I Got You Babe - LP/Single Version,65,193840,Unknown Artist (Placeholder)
Come See About Me - Stereo Version,26,162306,Unknown Artist (Placeholder)
Folsom Prison Blues - Mono Version,58,155640,Unknown Artist (Placeholder)
Somethin' Stupid,30,162493,Unknown Artist (Placeholder)
While My Guitar Gently Weeps - Remastered,32,285000,Unknown Artist (Placeholder)
The Sun Ain't Gonna Shine Anymore - Stereo Version,14,179440,Unknown Artist (Placeholder)
Fly Me To The Moon - Remastered 2008,27,147520,Unknown Artist (Placeholder)
Chapel Of Love,59,167773,Unknown Artist (Placeholder)
"Everybody's Talkin' - From ""Midnight Cowboy""",15,164813,Unknown Artist (Placeholder)
Sunny Afternoon,17,213240,Unknown Artist (Placeholder)
Everybody Needs Somebody To Love - Mono / Remastered / Version 2,19,304706,Unknown Artist (Placeholder)
Everlasting Love,60,182666,Unknown Artist (Placeholder)
A Day In The Life - Remastered,27,337413,Unknown Artist (Placeholder)
"Raindrops Keep Fallin' On My Head - From ""Butch Cassidy And The Sundance Kid"" Soundtrack",58,177800,Unknown Artist (Placeholder)
Stuck on You,61,139640,Unknown Artist (Placeholder)
Sweets for My Sweet,13,150013,Unknown Artist (Placeholder)
Don't Let Me Be Misunderstood,58,145693,Unknown Artist (Placeholder)
Piece of My Heart,56,157266,Unknown Artist (Placeholder)
Where Do You Go To (My Lovely),53,284706,Unknown Artist (Placeholder)
The Letter,65,112800,Unknown Artist (Placeholder)
To Love Somebody,66,182000,Unknown Artist (Placeholder)
He Ain't Heavy He's My Brother,49,258800,Unknown Artist (Placeholder)
Don't Worry Baby - Remastered 2001,61,169933,Unknown Artist (Placeholder)
Mr. Tambourine Man,63,330533,Unknown Artist (Placeholder)
What the World Needs Now Is Love,34,190480,Unknown Artist (Placeholder)
Love Child,29,175493,Unknown Artist (Placeholder)
A Hard Rain's A-Gonna Fall,58,412200,Unknown Artist (Placeholder)
Didn't I (Blow Your Mind This Time),61,201066,Unknown Artist (Placeholder)
Respect,74,147600,Unknown Artist (Placeholder)
"Lay, Lady, Lay",60,197093,Unknown Artist (Placeholder)
Sealed with a Kiss,60,168866,Unknown Artist (Placeholder)
Have You Ever Seen The Rain?,67,160000,Unknown Artist (Placeholder)
Is This Love,26,230527,Unknown Artist (Placeholder)
Don't Go Breaking My Heart,75,275440,Unknown Artist (Placeholder)
Hold the Line,77,235800,Unknown Artist (Placeholder)
September,82,214826,Unknown Artist (Placeholder)
The Chain - 2004 Remastered Edition,79,270213,Unknown Artist (Placeholder)
Sultans Of Swing,42,348624,Unknown Artist (Placeholder)
Rocket Man (I Think It's Going To Be A Long Long Time),17,282013,Unknown Artist (Placeholder)
Don't Stop Me Now - Remastered,81,209413,Unknown Artist (Placeholder)
Daddy Cool,56,207893,Unknown Artist (Placeholder)
It's a Heartache,12,210573,Unknown Artist (Placeholder)
Ain't No Sunshine,77,125093,Unknown Artist (Placeholder)
Rich Girl - Remastered,72,144333,Unknown Artist (Placeholder)
Sweet Home Alabama,62,284413,Unknown Artist (Placeholder)
Go Your Own Way,30,218400,Unknown Artist (Placeholder)
Roxanne - Remastered 2003,73,191500,Unknown Artist (Placeholder)
The Logical Song - Remastered 2010,33,251253,Unknown Artist (Placeholder)
Spirit In The Sky,73,239600,Unknown Artist (Placeholder)
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",20,238746,Unknown Artist (Placeholder)
Dreams,27,254453,Unknown Artist (Placeholder)
Mrs. Robinson,75,244026,Unknown Artist (Placeholder)
Lady Marmalade,60,235266,Unknown Artist (Placeholder)
Video Killed The Radio Star - Single Version,25,197906,Unknown Artist (Placeholder)
Listen To The Music,74,227266,Unknown Artist (Placeholder)
Mr. Blue Sky,81,303373,Unknown Artist (Placeholder)
Dancing Queen,30,231093,Unknown Artist (Placeholder)
Kung Fu Fighting,25,196349,Unknown Artist (Placeholder)
I Was Made For Lovin' You,17,270013,Unknown Artist (Placeholder)
More Than a Feeling,78,285133,Unknown Artist (Placeholder)
Piano Man,74,336093,Unknown Artist (Placeholder)
Boogie Wonderland,73,288293,Unknown Artist (Placeholder)
Le Freak,69,327573,Unknown Artist (Placeholder)
Carry On Wayward Son,54,205026,Unknown Artist (Placeholder)
If You Leave Me Now - Remastered,72,235373,Unknown Artist (Placeholder)
I'm Every Woman,64,213266,Unknown Artist (Placeholder)
Grease - From “Grease” Original Motion Picture Soundtrack,57,204346,Unknown Artist (Placeholder)
Take It Easy - Remastered,76,211577,Unknown Artist (Placeholder)
Blinded By The Light (Single edit),16,229000,Unknown Artist (Placeholder)
Stairway To Heaven,64,478173,Unknown Artist (Placeholder)
Here Comes The Sun - Live In Japan/1991/Remastered 2004,63,211320,Unknown Artist (Placeholder)
Let Your Love Flow,65,198760,Unknown Artist (Placeholder)
Don't Stop 'Til You Get Enough - Single Version,77,365466,Unknown Artist (Placeholder)
T.N.T.,78,214666,Unknown Artist (Placeholder)
Starman - 2012 Remastered Version,73,254293,Unknown Artist (Placeholder)
Miss You - Remastered,59,288666,Unknown Artist (Placeholder)
Hot Stuff,25,314760,Unknown Artist (Placeholder)
The Boys Are Back In Town,27,263826,Unknown Artist (Placeholder)
Black Magic Woman,66,195866,Unknown Artist (Placeholder)
"""Heroes"" - Single Version; 2014 Remastered Version",58,213813,Unknown Artist (Placeholder)
It Never Rains in Southern California,47,230453,Unknown Artist (Placeholder)
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,24,285373,Unknown Artist (Placeholder)
Come and Get Your Love,58,300666,Unknown Artist (Placeholder)
Ziggy Stardust - 2012 Remastered Version,65,194440,Unknown Artist (Placeholder)
YMCA - Original Version 1978,71,286800,Unknown Artist (Placeholder)
Layla,22,426173,Unknown Artist (Placeholder)
Saturday Night’s Alright (For Fighting) - Remastered 2014,20,295466,Unknown Artist (Placeholder)
"If I Can't Have You - From ""Saturday Night Fever""",50,177213,Unknown Artist (Placeholder)
Sunny,65,242240,Unknown Artist (Placeholder)
The Passenger,26,284066,Unknown Artist (Placeholder)
Young Americans - 2016 Remastered Version,61,313706,Unknown Artist (Placeholder)
You Make Me Feel Like Dancing - Remastered,48,219466,Unknown Artist (Placeholder)
"Can't Get Enough Of Your Love, Babe",55,270333,Unknown Artist (Placeholder)
Dreadlock Holiday,24,267746,Unknown Artist (Placeholder)
Take The Long Way Home - 2010 Remastered,23,308853,Unknown Artist (Placeholder)
What's Going On,30,232600,Unknown Artist (Placeholder)
Strawberry Letter 23,17,298794,Unknown Artist (Placeholder)
Bat Out of Hell,52,293426,Unknown Artist (Placeholder)
"You're The First, The Last, My Everything",15,206936,Unknown Artist (Placeholder)
Don't Stop,23,192133,Unknown Artist (Placeholder)
My Sharona,16,293840,Unknown Artist (Placeholder)
(Don't Fear) The Reaper,19,308440,Unknown Artist (Placeholder)
Africa,70,296000,Unknown Artist (Placeholder)
Maneater - Radio Edit,58,270946,Unknown Artist (Placeholder)
Maniac,72,244706,Unknown Artist (Placeholder)
Heaven,75,243360,Unknown Artist (Placeholder)
I Want To Break Free,22,201000,Unknown Artist (Placeholder)
Uptown Girl,78,197706,Unknown Artist (Placeholder)
Everybody Wants To Rule The World,40,251480,Unknown Artist (Placeholder)
Wake Me Up Before You Go-Go,27,230693,Unknown Artist (Placeholder)
Karma Chameleon,66,252760,Unknown Artist (Placeholder)
Footloose,73,226293,Unknown Artist (Placeholder)
You Can't Hurry Love,34,175346,Unknown Artist (Placeholder)
We Are The World,68,427333,Unknown Artist (Placeholder)
Walking On Sunshine,79,238733,Unknown Artist (Placeholder)
Don't Dream It's Over,75,236933,Unknown Artist (Placeholder)
Born In The U.S.A.,54,278826,Unknown Artist (Placeholder)
The Power Of Love,71,234333,Unknown Artist (Placeholder)
Bette Davis Eyes - Radio Edit; 1997 Remastered Version,26,221773,Unknown Artist (Placeholder)
I Knew You Were Waiting (For Me),52,241920,Unknown Artist (Placeholder)
Heaven Is a Place on Earth,73,246520,Unknown Artist (Placeholder)
You Give Love A Bad Name,25,222706,Unknown Artist (Placeholder)
Never Gonna Give You Up,75,213573,Unknown Artist (Placeholder)
A Little Respect - 2009 Remastered Version,70,213986,Unknown Artist (Placeholder)
Livin' On A Prayer,78,249293,Unknown Artist (Placeholder)
Come On Eileen,40,273720,Unknown Artist (Placeholder)
Drive,71,234493,Unknown Artist (Placeholder)
Don't You (Forget About Me),74,260680,Unknown Artist (Placeholder)
You Got It,68,210266,Unknown Artist (Placeholder)
Easy Lover,70,304506,Unknown Artist (Placeholder)
Black Velvet,72,287440,Unknown Artist (Placeholder)
Holiday,65,231560,Unknown Artist (Placeholder)
The Final Countdown,58,239120,Unknown Artist (Placeholder)
Forever Young,77,226706,Unknown Artist (Placeholder)
Purple Rain,16,522306,Unknown Artist (Placeholder)
Give It Up,63,245800,Unknown Artist (Placeholder)
Just Can't Get Enough,71,220893,Unknown Artist (Placeholder)
Girls Just Want to Have Fun,70,228120,Unknown Artist (Placeholder)
I Just Called To Say I Love You,71,262240,Unknown Artist (Placeholder)
Sweet Child O' Mine,81,354520,Unknown Artist (Placeholder)
Money For Nothing,73,510933,Unknown Artist (Placeholder)
Beat It - Single Version,68,257906,Unknown Artist (Placeholder)
Red Red Wine,77,183733,Unknown Artist (Placeholder)
Gloria,69,295066,Unknown Artist (Placeholder)
(I Just) Died In Your Arms,72,278626,Unknown Artist (Placeholder)
Careless Whisper,68,302600,Unknown Artist (Placeholder)
Jump - Remastered Version,67,244106,Unknown Artist (Placeholder)
I'm So Excited,71,229466,Unknown Artist (Placeholder)
Let's Dance - Single Version [Remastered],55,248586,Unknown Artist (Placeholder)
Walk Of Life,38,249960,Unknown Artist (Placeholder)
The Best - Edit,70,250133,Unknown Artist (Placeholder)
Material Girl,73,240280,Unknown Artist (Placeholder)
Don't You Want Me - 2002 - Remaster,23,238000,Unknown Artist (Placeholder)
She Drives Me Crazy,25,218906,Unknown Artist (Placeholder)
All Night Long (All Night) - Single Version,38,260426,Unknown Artist (Placeholder)
Kiss (45 Version),50,227493,Unknown Artist (Placeholder)
It's Raining Men,60,211533,Unknown Artist (Placeholder)
The Boys Of Summer,31,288333,Unknown Artist (Placeholder)
Paradise City,77,405640,Unknown Artist (Placeholder)
(I've Had) The Time of My Life,63,289066,Unknown Artist (Placeholder)
Our House,62,190840,Unknown Artist (Placeholder)
The Look,70,237320,Unknown Artist (Placeholder)
Broken Wings,63,343933,Unknown Artist (Placeholder)
Invisible Touch - Remastered 2007,66,210133,Unknown Artist (Placeholder)
Bye Bye Bye,71,200560,Unknown Artist (Placeholder)
Heal the World,70,384306,Unknown Artist (Placeholder)
I'll Be Missing You (feat. 112),75,301520,Unknown Artist (Placeholder)
Wonderwall,23,258613,Unknown Artist (Placeholder)
Black or White - Single Version,71,202853,Unknown Artist (Placeholder)
Say My Name,78,271333,Unknown Artist (Placeholder)
Mambo No. 5 (A Little Bit of...),27,219600,Unknown Artist (Placeholder)
Kiss Me,25,205239,Unknown Artist (Placeholder)
Don't Look Back in Anger,59,287826,Unknown Artist (Placeholder)
Torn,72,244813,Unknown Artist (Placeholder)
All That She Wants,68,211213,Unknown Artist (Placeholder)
...Baby One More Time,78,211066,Unknown Artist (Placeholder)
I Want It That Way,80,213600,Unknown Artist (Placeholder)
It's Oh So Quiet,52,217733,Unknown Artist (Placeholder)
Crash into Me,61,316333,Unknown Artist (Placeholder)
Would I Lie To You?,20,204586,Unknown Artist (Placeholder)
Ants Marching,51,271186,Unknown Artist (Placeholder)
No Scrubs,81,214400,Unknown Artist (Placeholder)
Gangsta's Paradise (feat. L.V.),27,241933,Unknown Artist (Placeholder)
Enjoy the Silence,71,255133,Unknown Artist (Placeholder)
Hero,71,257733,Unknown Artist (Placeholder)
Kiss From A Rose,55,289226,Unknown Artist (Placeholder)
Truly Madly Deeply,72,277266,Unknown Artist (Placeholder)
Virtual Insanity - Remastered,59,228333,Unknown Artist (Placeholder)
Shoop,67,248573,Unknown Artist (Placeholder)
It Wasn't Me,70,227600,Unknown Artist (Placeholder)
The Rockafeller Skank - Short Edit,49,241466,Unknown Artist (Placeholder)
Hedonism (Just Because You Feel Good),51,207360,Unknown Artist (Placeholder)
If It Makes You Happy,62,324840,Unknown Artist (Placeholder)
Save Tonight,59,236040,Unknown Artist (Placeholder)
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,70,283747,Unknown Artist (Placeholder)
"Boom, Boom, Boom, Boom!!",74,201840,Unknown Artist (Placeholder)
Wannabe,81,173026,Unknown Artist (Placeholder)
Genie in a Bottle,73,217573,Unknown Artist (Placeholder)
I Wish,59,249293,Unknown Artist (Placeholder)
Hypnotize,69,230000,Unknown Artist (Placeholder)
My Love Is Your Love,58,260120,Unknown Artist (Placeholder)
"Baby, I Love Your Way",73,249520,Unknown Artist (Placeholder)
The Sign,16,187710,Unknown Artist (Placeholder)
Step by Step,63,267293,Unknown Artist (Placeholder)
Nothing Compares 2 U,71,280040,Unknown Artist (Placeholder)
Californication,82,329733,Unknown Artist (Placeholder)
MMMBop - Single Version,29,238533,Unknown Artist (Placeholder)
"Rhythm Is A Dancer - 7"" Edit",23,225866,Unknown Artist (Placeholder)
What Is Love,72,270373,Unknown Artist (Placeholder)
Thank You,69,218360,Unknown Artist (Placeholder)
Say You'll Be There - シングル・ミックス,68,235973,Unknown Artist (Placeholder)
Just A Girl,27,208400,Unknown Artist (Placeholder)
